room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
15007987,1315,50537884,Shared room,,Seattle,,North Delridge,11,5.0,4,1.0,,45.0,,2017-06-11 18:05:38.442257,47.567872,-122.36471,0101000020E61000008CA19C6857975EC035289A07B0C84740
7219838,1315,23270234,Shared room,,Seattle,,Minor,55,4.5,3,1.0,,55.0,,2017-06-11 18:05:38.439423,47.606149,-122.303857,0101000020E6100000486AA16472935EC066C0594A96CD4740
19198243,1315,55963544,Shared room,,Seattle,,Fremont,0,0.0,1,1.0,,52.0,,2017-06-11 18:05:38.436888,47.663406,-122.353787,0101000020E6100000FFAF3A72A4965EC02FFCE07CEAD44740
4725935,1315,7354306,Shared room,,Seattle,,Broadway,69,4.5,1,1.0,,42.0,,2017-06-11 18:05:38.433574,47.623353,-122.323069,0101000020E61000007E569929AD945EC0876EF607CACF4740
18750973,1315,12362661,Shared room,,Seattle,,Montlake,0,0.0,1,1.0,,44.0,,2017-06-11 18:05:38.430736,47.642563,-122.302131,0101000020E6100000E606431D56935EC0514F1F813FD24740
18121221,1315,55841275,Shared room,,Seattle,,University District,4,5.0,2,1.0,,45.0,,2017-06-11 18:05:38.425309,47.662622,-122.301375,0101000020E61000003F355EBA49935EC018CE35CCD0D44740
6278361,1315,2392169,Shared room,,Seattle,,Central Business District,94,5.0,2,1.0,,50.0,,2017-06-11 18:05:38.421756,47.60725,-122.336671,0101000020E6100000BEA085048C955EC07D3F355EBACD4740
14465093,1315,10322518,Shared room,,Seattle,,Belltown,13,4.5,2,1.0,,52.0,,2017-06-11 18:05:38.418716,47.614712,-122.343695,0101000020E61000001E335019FF955EC0B83A00E2AECE4740
3697351,1315,18835179,Shared room,,Seattle,,Belltown,180,4.5,3,1.0,,55.0,,2017-06-11 18:05:38.413203,47.613814,-122.342529,0101000020E61000009F3BC1FEEB955EC0D9E9077591CE4740
14133989,1315,85076667,Shared room,,Seattle,,Fremont,11,4.5,1,1.0,,59.0,,2017-06-11 18:05:38.407960,47.662738,-122.352479,0101000020E6100000B76114048F965EC081E84999D4D44740
3811872,1315,7354306,Shared room,,Seattle,,Stevens,26,4.5,1,1.0,,35.0,,2017-06-11 18:05:36.912207,47.63033,-122.301708,0101000020E6100000433C122F4F935EC006D847A7AED04740
3811828,1315,7354306,Shared room,,Seattle,,Stevens,36,4.5,1,1.0,,40.0,,2017-06-11 18:05:36.908448,47.63147,-122.301881,0101000020E61000002992AF0452935EC0DB334B02D4D04740
3811955,1315,7354306,Shared room,,Seattle,,Stevens,42,4.5,1,1.0,,35.0,,2017-06-11 18:05:36.904430,47.631557,-122.301958,0101000020E6100000FFB0A54753935EC0AA471ADCD6D04740
3811930,1315,7354306,Shared room,,Seattle,,Stevens,44,4.5,1,1.0,,35.0,,2017-06-11 18:05:36.900446,47.631401,-122.303085,0101000020E61000001FBAA0BE65935EC0B2D47ABFD1D04740
7873208,1315,7354306,Shared room,,Seattle,,Stevens,18,4.5,1,1.0,,35.0,,2017-06-11 18:05:36.896946,47.631216,-122.30346,0101000020E61000003AE97DE36B935EC0215B96AFCBD04740
3994634,1315,7354306,Shared room,,Seattle,,Stevens,44,4.5,1,1.0,,35.0,,2017-06-11 18:05:36.891726,47.62951,-122.303075,0101000020E61000000E4FAF9465935EC0A3409FC893D04740
3666970,1315,7354306,Shared room,,Seattle,,Stevens,39,4.5,1,1.0,,35.0,,2017-06-11 18:05:36.073972,47.630223,-122.30325,0101000020E6100000C520B07268935EC0F017B325ABD04740
7873345,1315,7354306,Shared room,,Seattle,,Stevens,26,5.0,1,1.0,,35.0,,2017-06-11 18:05:36.071212,47.62974,-122.301834,0101000020E610000089B48D3F51935EC0D47D00529BD04740
3994601,1315,7354306,Shared room,,Seattle,,Stevens,48,5.0,1,1.0,,35.0,,2017-06-11 18:05:36.067245,47.629543,-122.301695,0101000020E610000078978BF84E935EC07E3672DD94D04740
12113826,1315,31751507,Shared room,,Seattle,,Pike-Market,33,5.0,8,1.0,,38.0,,2017-06-11 18:05:36.064009,47.608211,-122.339863,0101000020E6100000B587BD50C0955EC0A208A9DBD9CD4740
4710869,1315,7354306,Shared room,,Seattle,,Stevens,39,5.0,1,1.0,,35.0,,2017-06-11 18:05:36.059305,47.630407,-122.30149,0101000020E61000008C84B69C4B935EC0B115342DB1D04740
8212989,1315,31751507,Shared room,,Seattle,,Pike-Market,44,5.0,8,1.0,,38.0,,2017-06-11 18:05:36.053920,47.607724,-122.340476,0101000020E6100000AA44D95BCA955EC0457F68E6C9CD4740
13318575,1315,25971312,Shared room,,Seattle,,International District,48,4.5,1,1.0,,35.0,,2017-06-11 18:05:36.051318,47.599584,-122.327543,0101000020E61000002942EA76F6945EC0399A232BBFCC4740
17739065,1315,121001214,Shared room,,Seattle,,University District,0,0.0,4,1.0,,20.0,,2017-06-11 18:05:36.047438,47.665819,-122.315691,0101000020E61000000F29064834945EC01807978E39D54740
17405017,1315,7465403,Shared room,,Seattle,,Interbay,2,0.0,1,1.0,,35.0,,2017-06-11 18:05:36.044718,47.649295,-122.377113,0101000020E61000005F79909E22985EC0693A3B191CD34740
6591894,1315,7354306,Shared room,,Seattle,,Stevens,36,4.5,1,1.0,,35.0,,2017-06-11 18:05:36.042539,47.630878,-122.303665,0101000020E610000026FC523F6F935EC009E23C9CC0D04740
18852442,1315,131325716,Shared room,,Seattle,,Fremont,0,0.0,1,1.0,,10.0,,2017-06-11 18:05:36.040504,47.662456,-122.350236,0101000020E6100000707841446A965EC0FD84B35BCBD44740
10248139,1315,28883039,Shared room,,Seattle,,Broadway,39,4.5,1,1.0,,27.0,,2017-06-11 18:05:36.037861,47.616034,-122.312817,0101000020E61000008028983105945EC0AE9CBD33DACE4740
8539074,1315,43629609,Shared room,,Seattle,,Mann,11,4.5,1,1.0,,36.0,,2017-06-11 18:05:36.035121,47.609806,-122.297338,0101000020E6100000EA76F69507935EC0C9737D1F0ECE4740
12834266,1315,38319663,Shared room,,Seattle,,University District,0,0.0,1,1.0,,30.0,,2017-06-11 18:05:36.032841,47.657386,-122.315477,0101000020E6100000F96871C630945EC0946C753925D44740
5031383,1315,25971312,Shared room,,Seattle,,International District,100,4.5,1,1.0,,35.0,,2017-06-11 18:05:36.030106,47.599313,-122.328318,0101000020E61000000A2C802903955EC0A988D349B6CC4740
6119821,1315,31751507,Shared room,,Seattle,,Pike-Market,78,4.5,8,1.0,,38.0,,2017-06-11 18:05:36.027994,47.60908,-122.340106,0101000020E610000019CBF44BC4955EC0E7525C55F6CD4740
18044584,1315,49305020,Shared room,,Seattle,,Lower Queen Anne,4,5.0,1,1.0,,25.0,,2017-06-11 18:05:36.025822,47.62754,-122.34627,0101000020E61000008065A54929965EC04777103B53D04740
16384319,1315,83971005,Shared room,,Seattle,,Belltown,0,0.0,1,1.0,,32.0,,2017-06-11 18:05:36.021851,47.618339,-122.344671,0101000020E61000004C38F4160F965EC0B16B7BBB25CF4740
16960567,1315,29171894,Shared room,,Seattle,,Belltown,31,5.0,2,1.0,,39.0,,2017-06-11 18:05:34.778918,47.615485,-122.342463,0101000020E6100000C345EEE9EA955EC0DB166536C8CE4740
12378488,1315,26967583,Shared room,,Seattle,,North Queen Anne,57,4.5,1,1.0,,40.0,,2017-06-11 18:05:34.776882,47.648046,-122.357349,0101000020E6100000881057CEDE965EC0DD26DC2BF3D24740
8670484,1315,7354306,Shared room,,Seattle,,Stevens,28,4.5,1,1.0,,35.0,,2017-06-11 18:05:34.773815,47.63089,-122.3036,0101000020E610000033C4B12E6E935EC0CDAFE600C1D04740
4941356,1315,25465256,Shared room,,Seattle,,Maple Leaf,58,4.5,1,1.0,,32.0,,2017-06-11 18:05:34.771127,47.706836,-122.321585,0101000020E6100000967840D994945EC057D11F9A79DA4740
13560642,1315,78131225,Shared room,,Seattle,,North Beacon Hill,1,0.0,1,1.0,,14.0,,2017-06-11 18:05:34.768391,47.579708,-122.314736,0101000020E6100000EDB776A224945EC0629D2ADF33CA4740
14546831,1315,64253716,Shared room,,Seattle,,North College Park,11,5.0,1,1.0,,38.0,,2017-06-11 18:05:34.762123,47.694132,-122.343159,0101000020E6100000FF942A51F6955EC0B58D3F51D9D84740
